bfs_number,german,french,italian,english,coat_of_arms
0562,Aeschi bei Spiez,Aeschi bei Spiez,Aeschi bei Spiez,Aeschi bei Spiez,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Aeschi_bei_Spiez-coat_of_arms.svg/120px-Aeschi_bei_Spiez-coat_of_arms.svg.png
2441,Aetigkofen,Aetigkofen,Aetigkofen,Aetigkofen,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Aetigkofen-blason.png/120px-Aetigkofen-blason.png
2442,Aetingen,Aetingen,Aetingen,Aetingen,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Aetingen-blason.png/120px-Aetingen-blason.png
0001,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis,http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Aeugst_am_Albis-blazon.svg/120px-Aeugst_am_Albis-blazon.svg.png
4711,Affeltrangen,Affeltrangen,Affeltrangen,Affeltrangen,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Affeltra.jpg/120px-Affeltra.jpg
0002,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Affoltern_am_Albis-blazon.svg/120px-Affoltern_am_Albis-blazon.svg.png
0951,Affoltern im Emmental,Affoltern im Emmental,Affoltern im Emmental,Affoltern im Emmental,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Affoltern_im_Emmental-coat_of_arms.svg/120px-Affoltern_im_Emmental-coat_of_arms.svg.png
6101,Agarn,Agarn,Agarn,Agarn,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Agarn.gif/120px-Agarn.gif
5742,Agiez,Agiez,Agiez,Agiez,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Wappen_Agiez.svg/120px-Wappen_Agiez.svg.png
5141,Agno TI,Agno (Suisse),Agno (Svizzera),"Agno, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Agno-coat_of_arms.svg/120px-Agno-coat_of_arms.svg.png
5401,Aigle VD,Aigle (Vaud),Aigle (Svizzera),Aigle,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Wappen_Aigle.svg/120px-Wappen_Aigle.svg.png
6601,Aire-la-Ville,Aire-la-Ville,Aire-la-Ville,Aire-la-Ville,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/AireLaVille-coat_of_arms.svg/120px-AireLaVille-coat_of_arms.svg.png
5061,Airolo,Airolo,Airolo,Airolo,http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Airolo-coat_of_arms.svg/120px-Airolo-coat_of_arms.svg.png
1121,Alberswil,Alberswil,Alberswil,Alberswil,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Coat_of_arms_of_Alberswil.svg/120px-Coat_of_arms_of_Alberswil.svg.png
6102,Albinen,Albinen,Albinen,Albinen,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Albinen-coat_of_arms.svg/120px-Albinen-coat_of_arms.svg.png
,Albligen,Albligen,Albligen,Albligen,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Albligen-coat_of_arms.svg/120px-Albligen-coat_of_arms.svg.png
0402,Alchenstorf,Alchenstorf,Alchenstorf,Alchenstorf,http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Alchenstorf-coat_of_arms.svg/120px-Alchenstorf-coat_of_arms.svg.png
5851,Allaman,Allaman,Allaman,Allaman,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Wappen_Allaman.svg/120px-Wappen_Allaman.svg.png
6771,Alle JU,Alle (Jura),Alle (Svizzera),"Alle, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Alle-coat_of_arms.svg/120px-Alle-coat_of_arms.svg.png
0630,Allmendingen bei Bern,Allmendingen bei Bern,Allmendingen (Svizzera),Allmendingen bei Bern,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Allmendingen-coat_of_arms.svg/120px-Allmendingen-coat_of_arms.svg.png
2762,Allschwil,Allschwil,Allschwil,Allschwil,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Wappen_Allschwil.png/120px-Wappen_Allschwil.png
3631,Almens,Almens,Almens,Almens,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Almens_wappen.svg/120px-Almens_wappen.svg.png
1401,Alpnach,Alpnach,Alpnach,Alpnach,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alpnach-coat_of_arms.svg/120px-Alpnach-coat_of_arms.svg.png
1361,Alpthal,Alpthal,Alpthal,Alpthal,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Wappen_alpthal.png/120px-Wappen_alpthal.png
1122,Altbüron,Altbüron,Altbüron,Altbüron,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Coat_of_arms_of_Altb%C3%BCron.svg/120px-Coat_of_arms_of_Altb%C3%BCron.svg.png
1201,Altdorf UR,Altdorf (Uri),Altdorf (Uri),"Altdorf, Uri",http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Altdorf-coat_of_arms.svg/120px-Altdorf-coat_of_arms.svg.png
1341,Altendorf SZ,Altendorf (Suisse),Altendorf (Svizzera),"Altendorf, Schwyz",http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Wappen_altendorf.png/120px-Wappen_altendorf.png
2291,Alterswil,Alterswil,Alterswil,Alterswil,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Alterswil-coat_of_arms.svg/120px-Alterswil-coat_of_arms.svg.png
